La Révolution Française
Histoire
🏰

discovery;En quelle année a débuté la Révolution Française ?;1789;1799;1780;1792;0;La Révolution Française a débuté le 14 juillet 1789 avec la prise de la Bastille.
discovery;Quel bâtiment a été pris d'assaut le 14 juillet 1789 ?;Versailles;La Bastille;Les Tuileries;Notre-Dame;1;La Bastille était une prison royale symbolisant l'autorité arbitraire du roi.
discovery;Qui était le roi de France au début de la Révolution ?;Louis XIV;Napoléon;Louis XVI;Louis XV;2;Louis XVI (1754-1793) était le dernier roi de France avant la Révolution.
discovery;Quelle est la date de la fête nationale française ?;1er mai;8 mai;11 novembre;14 juillet;3;Le 14 juillet commémore la prise de la Bastille en 1789.
discovery;Comment s'appelait l'épouse de Louis XVI ?;Marie-Antoinette;Marie de Médicis;Catherine de Médicis;Joséphine;0;Marie-Antoinette d'Autriche était reine de France de 1774 à 1792.
discovery;Où résidait le roi Louis XVI avant la Révolution ?;À Paris;À Lyon;À Versailles;À Bordeaux;2;Le château de Versailles était la résidence royale depuis Louis XIV.
easy;Quelle devise est issue de la Révolution Française ?;Honneur et Patrie;Liberté, Égalité, Fraternité;Dieu et mon droit;Travail, Famille, Patrie;1;Liberté, Égalité, Fraternité est la devise de la République française.
easy;Quel était le surnom de Marie-Antoinette ?;La Reine Soleil;La Dame de Fer;La Bien-Aimée;L'Autrichienne;3;Marie-Antoinette, née en Autriche, était appelée l'Autrichienne.
easy;Comment s'appelait l'assemblée réunie par le roi en 1789 ?;Les États généraux;Le Parlement;Le Sénat;La Convention;0;Les États généraux réunissaient les trois ordres : Clergé, Noblesse et Tiers État.
easy;Quel symbole représente la République française ?;Le lion;L'aigle;Le coq;Marianne;3;Marianne incarne la République française et ses valeurs.
easy;Qu'est-ce que le Tiers État ?;Le clergé;La noblesse;Le roi;Le peuple (98% de la population);3;Le Tiers État regroupait tous ceux qui n'étaient ni nobles ni membres du clergé.
easy;Quel instrument servait aux exécutions pendant la Révolution ?;L'épée;La hache;La guillotine;La potence;2;La guillotine, inventée par le Dr Guillotin, était censée être plus humaine.
medium;Quel document a été adopté le 26 août 1789 ?;La Constitution;Le Code civil;La Déclaration des droits de l'homme;L'abolition des privilèges;2;La Déclaration des droits de l'homme proclame l'égalité en droits de tous les hommes.
medium;Quand Louis XVI a-t-il été guillotiné ?;14 juillet 1789;21 janvier 1793;27 juillet 1794;9 novembre 1799;1;Louis XVI fut exécuté le 21 janvier 1793, condamné pour trahison.
medium;Comment s'appelle le club politique de Robespierre ?;Les Girondins;Les Jacobins;Les Feuillants;Les Cordeliers;1;Le club des Jacobins était le plus radical des clubs révolutionnaires.
medium;Qu'est-ce que la Grande Peur de l'été 1789 ?;Une épidémie;Une famine;Une vague de paniques paysannes;Une guerre civile;2;La Grande Peur vit les paysans attaquer les châteaux et brûler les titres seigneuriaux.
hard;Quelle période est appelée La Terreur ?;1789-1790;1791-1792;1793-1794;1795-1796;2;La Terreur (1793-1794) vit environ 17 000 personnes guillotinées.
hard;Qui était le leader du Comité de salut public ?;Danton;Marat;Saint-Just;Robespierre;3;Robespierre, l'Incorruptible, domina le Comité jusqu'à sa chute.
hard;Qu'est-ce que la fuite à Varennes ?;Une bataille;La tentative de fuite du roi;Une révolte paysanne;Une manifestation;1;En juin 1791, Louis XVI tenta de fuir mais fut arrêté à Varennes.
hard;Qui a été surnommé l'Ami du peuple ?;Robespierre;Danton;Marat;Saint-Just;2;Jean-Paul Marat publiait le journal L'Ami du peuple.
expert;Quel calendrier a été instauré par la Convention en 1793 ?;Calendrier julien;Calendrier grégorien;Calendrier républicain;Calendrier civil;2;Le calendrier républicain avait des mois comme Vendémiaire, Brumaire...
expert;Qui a assassiné Jean-Paul Marat ?;Olympe de Gouges;Charlotte Corday;Théroigne de Méricourt;Madame Roland;1;Charlotte Corday poignarda Marat dans sa baignoire le 13 juillet 1793.
expert;Qui a écrit la Déclaration des droits de la femme ?;Marie-Antoinette;Olympe de Gouges;Charlotte Corday;Madame de Staël;1;Olympe de Gouges réclama l'égalité des sexes et fut guillotinée en 1793.
challenge;Comment appelle-t-on les députés modérés de la Gironde ?;Les Montagnards;Les Jacobins;Les Girondins;Les Feuillants;2;Les Girondins, souvent de Bordeaux, furent éliminés pendant la Terreur.
challenge;Quel coup d'État met fin au Directoire ?;9 thermidor;18 brumaire;10 août;14 juillet;1;Le 18 brumaire an VIII (9 novembre 1799), Napoléon prit le pouvoir.
challenge;Quel général a défendu Toulon en 1793 ?;Lafayette;Dumouriez;Napoléon Bonaparte;Kellermann;2;Bonaparte se fit remarquer au siège de Toulon contre les Anglais.
